City,Country,Latitude,Longitude,Date,Clouds,Humidity,Temperature,Wind
krasnoselkup,RU,65.7,82.47,1595525452,88,63,285.96,6.66
saint george,US,37.1,-113.58,1595525187,1,24,307.04,3.6
manali,IN,13.17,80.27,1595525453,40,79,303.15,3.1
masvingo,ZW,-20.06,30.83,1595525453,1,74,283.75,4.63
batagay,RU,67.63,134.63,1595525322,59,56,291.04,1.29
wasilla,US,61.58,-149.44,1595525453,1,87,287.59,2.6
opole,PL,50.5,18.0,1595525313,45,60,293.71,0.45
moss vale,AU,-34.55,150.38,1595525454,40,100,282.59,0.69
pringsewu,ID,-5.36,104.97,1595525454,100,93,295.85,0.13
bontang,ID,0.13,117.5,1595525454,81,87,297.57,3.02
kondagaon,IN,19.6,81.67,1595525455,97,97,294.29,1.76
sorland,NO,67.67,12.69,1595525455,75,87,284.15,11.3
khani,GE,41.96,42.96,1595525344,75,78,298.15,2.6
kununurra,AU,-15.77,128.73,1595525455,0,37,286.15,4.44
vanimo,PG,-2.67,141.3,1595525455,40,85,298.6,2.46
sovetskoye,RU,52.29,85.41,1595525455,40,84,287.55,0.26
mariental,NA,-24.63,17.97,1595525456,0,30,287.41,3.78
tura,IN,25.52,90.22,1595525456,100,97,297.14,2.46
lata,PT,40.16,-8.33,1595525299,0,52,300.93,4.47
zholymbet,KZ,51.74,71.71,1595525456,100,68,292.64,3.63
hofn,IS,64.25,-15.21,1595525457,75,66,286.15,3.6
suslovo,RU,56.22,88.12,1595525457,0,91,281.41,1.34
ilo,PE,-17.64,-71.34,1595525457,90,82,291.15,3.1
klaksvik,FO,62.23,-6.59,1595525457,33,81,285.15,3.6
shirvan,AZ,39.95,48.9,1595525457,47,53,299.73,3.77
new port richey,US,28.24,-82.72,1595525389,96,70,302.59,5.92
hamilton,US,39.18,-84.53,1595525424,40,78,302.04,2.6
shaunavon,CA,49.65,-108.42,1595525458,97,40,300.55,2.8
kintampo,GH,8.06,-1.73,1595525458,95,83,298.45,1.85
kanchanaburi,TH,14.63,99.1,1595525458,87,85,298.3,1.5
tecoanapa,MX,16.52,-98.75,1595525459,43,63,303.38,3.89
wanning,CN,18.8,110.4,1595525459,99,80,300.66,3.25
chapais,CA,49.78,-74.85,1595525277,75,46,296.15,2.1
birjand,IR,32.87,59.22,1595525459,0,12,302.15,3.1
zapolyarnyy,RU,69.42,30.81,1595525460,40,87,287.15,7.7
zhezkazgan,KZ,47.8,67.71,1595525460,65,27,299.51,3.06
bandarbeyla,SO,9.49,50.81,1595525303,78,77,298.13,13.66
kosa,RU,59.94,55.0,1595525460,97,77,290.12,2.83
byron bay,AU,-28.65,153.62,1595525381,90,100,287.15,3.1
tambacounda,SN,13.75,-13.76,1595525461,40,59,306.15,2.1
staryy nadym,RU,65.61,72.68,1595525461,6,76,282.01,4.95
cervo,ES,43.67,-7.41,1595525461,55,73,295.93,2.41
iralaya,HN,15.0,-83.23,1595525461,75,79,303.15,3.6
port augusta,AU,-32.5,137.77,1595525462,19,75,276.48,3.6
nantucket,US,41.28,-70.1,1595525462,20,78,299.15,7.2
belyy yar,RU,53.6,91.39,1595525462,26,87,288.15,2.0
broken hill,AU,-31.95,141.43,1595525462,1,81,279.15,3.6
guadalupe y calvo,MX,26.1,-106.97,1595525463,26,74,293.38,1.82
coihaique,CL,-45.58,-72.07,1595525463,90,79,269.15,1.5
mayo,US,38.89,-76.51,1595525463,1,62,305.93,2.6
oneida,US,43.2,-75.47,1595525463,75,78,299.26,2.1
morganton,US,35.75,-81.68,1595525391,39,63,306.48,1.34
silifke,TR,36.38,33.93,1595525464,0,37,304.16,2.99
parana,AR,-31.73,-60.52,1595525464,100,93,282.04,1.79
guerrero negro,MX,27.98,-114.06,1595525283,91,66,294.4,5.24
thap khlo,TH,16.16,100.6,1595525464,78,75,300.66,0.99
ormara,PK,25.21,64.64,1595525465,0,83,302.15,8.17
martinsville,US,36.69,-79.87,1595525465,40,66,305.93,1.85
raigarh,IN,21.9,83.4,1595525465,100,86,299.44,3.43
san vicente,AR,-26.62,-54.13,1595525465,67,39,299.22,2.96
andros town,BS,24.7,-77.77,1595525465,75,66,304.15,7.2
sambava,MG,-14.27,50.17,1595525466,90,70,295.25,10.18
rurrenabaque,BO,-14.44,-67.53,1595525466,70,56,302.32,1.33
isiolo,KE,0.35,37.58,1595525466,89,62,295.37,3.37
kirakira,SB,-10.45,161.92,1595525466,100,83,299.48,5.01
pedernales,DO,18.04,-71.74,1595525467,40,59,306.15,6.7
cabedelo,BR,-6.98,-34.83,1595525467,75,78,300.15,6.7
stokmarknes,NO,68.56,14.91,1595525467,75,93,284.15,3.1
cap malheureux,MU,-19.98,57.61,1595525468,53,51,293.15,4.47
codrington,AU,-38.27,141.97,1595525468,91,88,276.83,3.62
arys,KZ,42.43,68.8,1595525468,75,31,304.15,5.0
koster,ZA,-25.86,26.9,1595525468,0,48,280.96,0.99
pochutla,MX,15.74,-96.47,1595525469,90,70,303.71,2.44
winsford,GB,53.18,-2.52,1595525469,100,93,290.93,1.79
lupiro,TZ,-8.38,36.67,1595525469,24,50,294.47,2.03
bubaque,GW,11.28,-15.83,1595525469,100,83,300.37,6.34
ati,TD,13.22,18.34,1595525469,94,48,304.0,6.1
te anau,NZ,-45.42,167.72,1595525470,48,88,274.54,1.89
matiri,TZ,-10.75,34.9,1595525470,10,62,285.3,1.13
gombong,ID,-7.61,109.51,1595525470,100,86,296.33,1.46
cockburn town,TC,21.46,-71.14,1595525439,40,66,303.15,6.2
darab,IR,28.75,54.54,1595525470,8,41,302.73,3.56
pandamatenga,BW,-18.53,25.63,1595525471,6,50,285.83,1.07
kalabo,ZM,-14.97,22.68,1595525471,5,30,290.11,2.34
baishishan,CN,43.58,127.57,1595525471,100,76,291.32,1.87
meulaboh,ID,4.14,96.13,1595525471,100,91,297.17,1.9
wallacetown,NZ,-46.33,168.27,1595525472,91,83,277.04,1.34
damme,DE,52.52,8.2,1595525472,32,49,295.93,1.34
troitskoye,RU,52.98,84.68,1595525472,45,77,289.04,1.6
tobermory,CA,45.25,-81.67,1595525472,19,59,296.48,0.89
hovd,MN,48.01,91.64,1595525271,67,55,292.76,0.82
am timan,TD,11.03,20.28,1595525473,99,80,297.43,0.92
andros,GR,37.83,24.93,1595525473,0,44,300.93,5.36
kharan,PK,28.58,65.42,1595525473,1,21,306.09,3.35
dunedin,NZ,-45.87,170.5,1595525473,36,71,278.71,2.68
tabalosos,PE,-6.35,-76.68,1595525474,40,59,305.15,2.6
ust-maya,RU,60.42,134.53,1595525474,0,84,285.93,1.3
grand gaube,MU,-20.01,57.66,1595525474,57,51,293.15,4.47
havre-saint-pierre,CA,50.23,-63.6,1595525474,1,64,294.15,3.6
sao borja,BR,-28.66,-56.0,1595525443,85,61,299.63,4.24
demidov,RU,55.27,31.52,1595525475,16,87,284.99,2.23
svetlyy,RU,54.67,20.13,1595525475,20,67,290.15,5.0
maceio,BR,-9.67,-35.74,1595525475,75,65,300.15,5.1
surt,LY,31.21,16.59,1595525475,0,72,298.95,5.25
kenai,US,60.55,-151.26,1595525475,1,71,289.26,4.6
coahuayana,MX,18.73,-103.68,1595525476,75,78,299.15,2.81
kathmandu,NP,27.72,85.32,1595525406,75,100,294.15,2.1
north las vegas,US,36.2,-115.12,1595525476,1,17,308.15,4.6
nata,PA,8.33,-80.52,1595525476,40,69,301.15,1.5
alanya,TR,36.54,32.0,1595525477,0,62,302.15,2.6
jimenez,MX,28.33,-105.4,1595525477,40,51,300.15,2.6
praia da vitoria,PT,38.73,-27.07,1595525477,20,61,298.15,2.45
balaipungut,ID,1.05,101.28,1595525477,20,94,297.15,0.27
wakkanai,JP,45.41,141.67,1595525477,97,92,288.16,9.08
bathsheba,BB,13.22,-59.52,1595525477,40,55,305.15,8.2
bodri,IN,23.17,81.43,1595525478,97,73,299.99,2.17
zhigalovo,RU,54.81,105.16,1595525478,1,82,285.35,0.4
acurenam,GQ,1.03,10.65,1595525478,96,86,294.61,1.77
kaili,ID,-3.46,120.21,1595525478,60,91,292.51,0.87
pangkalanbuun,ID,-2.68,111.62,1595525478,100,97,296.49,0.99
zaraza,VE,9.35,-65.32,1595525479,46,67,303.56,1.38
fonte boa,BR,-2.5,-66.27,1595525479,64,71,304.14,0.51
riachao das neves,BR,-11.75,-44.91,1595525479,10,26,305.18,2.72
marzuq,YE,14.4,46.47,1595525479,0,54,300.45,2.98
zhangye,CN,38.93,100.45,1595525479,97,50,295.22,0.35
hurricane,US,37.18,-113.29,1595525480,1,24,307.04,3.6
kolokani,ML,13.57,-8.03,1595525480,46,68,302.37,3.92
ilovka,RU,50.71,38.64,1595525480,26,76,288.27,2.44
lewiston,US,44.1,-70.21,1595525344,90,88,299.26,1.5
saint-francois,FR,46.42,3.91,1595525351,93,25,302.15,4.1
leninogorsk,RU,54.6,52.46,1595525481,99,95,288.02,1.26
port macquarie,AU,-31.43,152.92,1595525190,40,93,281.15,0.99
obera,AR,-27.49,-55.12,1595525290,69,43,300.19,3.48
taltal,CL,-25.4,-70.48,1595525481,0,50,287.98,3.01
zilupe,LV,56.39,28.12,1595525481,96,90,285.06,2.52
shatalovo,RU,54.33,32.45,1595525482,9,87,285.26,2.89
luocheng,CN,29.38,104.03,1595525482,97,98,297.21,1.41
rafaela,AR,-31.25,-61.49,1595525482,100,72,280.93,2.24
shalya,RU,57.25,58.73,1595525482,100,63,288.56,4.31
jiexiu,CN,37.02,111.91,1595525389,66,52,295.04,1.41
todos santos,MX,23.45,-110.22,1595525482,35,76,298.71,3.13
samana,DO,19.21,-69.34,1595525483,40,88,301.15,4.1
souris,CA,49.62,-100.26,1595525483,90,83,296.48,4.1
aromashevo,RU,56.86,68.64,1595525483,0,74,285.22,3.51
mani,CO,4.82,-72.29,1595525483,85,65,303.41,2.71
dumbea,NC,-22.15,166.45,1595525483,21,77,291.15,1.0
awjilah,LY,29.11,21.29,1595525483,0,34,302.8,10.04
moron,AR,-34.65,-58.62,1595525484,100,98,285.93,0.45
barstow,US,34.9,-117.02,1595525331,1,10,304.15,3.6
arkhangelsk,RU,64.54,40.54,1595525484,75,82,293.15,1.0
nizhniy tsasuchey,RU,50.52,115.13,1595525484,91,83,292.56,0.74
pontes e lacerda,BR,-15.23,-59.34,1595525484,43,16,310.2,2.23
jinchang,CN,38.5,102.17,1595525485,93,61,293.11,2.97
namatanai,PG,-3.67,152.43,1595525320,45,82,299.57,2.84
bergama,TR,39.12,27.18,1595525485,0,65,304.15,3.1
leningradskiy,RU,69.38,178.42,1595525485,96,72,280.71,6.19
sitka,US,57.05,-135.33,1595525291,90,93,285.15,1.5
sergeyevka,KZ,53.88,67.42,1595525486,98,88,290.17,6.2
lamu,KE,-2.27,40.9,1595525486,46,73,297.68,10.15
pemberton,CA,50.32,-122.8,1595525424,20,68,291.15,2.6
